x,y,z
1129.782083375012,388.50073076652455,844.4134778959456
1118.182728561717,389.0557392972791,844.4134778959456
1118.6501755714849,389.00230742834975,842.8368333794141
1121.4547720405626,388.6817259980502,833.3772549637382
1126.2234290040674,376.54466291879123,812.8815979575699
1129.8704045009429,362.87960096386183,795.5389413010214
1136.4168975053635,329.0111231155013,760.853916671345
1147.8258254179038,279.68273908086815,704.0964461772666
1160.3564861732702,231.88204482456993,644.1856866501544
1166.060625837988,211.35789295218618,617.3835959196517
1169.240171431755,197.74641252318025,601.6175837796125
1171.2042148195346,185.92978121722464,590.5815051891236
1174.7580609548863,167.3074820793995,571.6623483577714
1179.0605338615164,138.66339097528075,546.4367578020581
1181.493278630498,110.2331721122356,527.5176009706977
1181.868227755183,96.94227311350528,521.21116724634
1182.804922033099,71.99503352394693,508.59844413934286
1183.3685530342136,35.49830729809683,492.83243199932906
1181.9699409059583,-14.022163473453752,478.6430643758052
1181.9717839590994,-38.86254421681434,469.18348596012794
1184.686314277938,-85.5411985754504,442.3813952296029
1189.2693525762877,-115.87327017303295,415.57930449909327
1192.823198711642,-134.4955693108547,396.6601476677443
1197.4050425399498,-148.26734045500922,376.1643463198534
1206.8486726932756,-169.21893749552652,336.74938814062705
1214.795603772452,-178.40747497264408,306.7941527187853
1220.3116930371853,-184.00602956476808,286.29835137091794
1224.6129457856707,-196.0896656667771,267.3791945395696
1229.2878761807508,-204.90419473635103,248.46003770821756
1234.2427832858582,-207.12647924419235,231.1175253933635
1240.8805625986633,-211.19733916629423,207.46857935418106
1243.9657672542078,-213.20590598173905,196.43235642199386
1245.1812095588066,-215.00089987007797,191.70256721414503
1248.4532530376464,-215.37491316930323,180.6663442819625
1253.8755900458586,-217.65077920306553,161.74718745061
1261.2613817601489,-223.46305148758273,134.9450967200857
1266.4031276885428,-224.0507824792285,117.6025844052524
1268.0860341095504,-225.8990585795233,111.29615068089804
1269.0208853343283,-226.00591742572018,108.14300598958071
1269.7689234239117,-227.74748433679258,104.98971695653736
1270.2363276389272,-227.8009113140591,103.4132167817322
1270.2363276389272,-227.8009113140591,105.09890839447323
1270.2363276389272,-227.8009113140591,123.24355793693375
1270.2363276389272,-227.8009113140591,171.70780288342291
1270.2363276389272,-227.8009113140591,220.6730084886499
1270.2363276389272,-227.8009113140591,248.00909514745953
1270.2363276389272,-227.8009113140591,270.1896954457997
1270.2363276389272,-227.8009113140591,271.7989049935248
1286.7308291475176,-228.59014392183468,271.7989049935248
1335.3439458430412,-230.91619523303834,271.7989049935248
1363.4972586074084,-232.26328125676395,271.7989049935248
1413.9140654407438,-234.67563593823576,271.7989049935248
1457.4389498374,-236.75822436915095,271.7989049935248
1491.9402591920712,-238.4090507575373,271.7989049935248
1519.7901042963833,-239.7416163925991,271.7989049935248
1534.04957406548,-240.4239067004026,271.7989049935248
1555.9374103457505,-241.4712008000179,271.7989049935248
1572.4864249716327,-242.26304176365656,271.7989049935248
1581.7627045015963,-242.70689526720597,271.7989049935248
1588.6361288003284,-243.03577641470906,271.7989049935248
1596.5660119729814,-243.41520724336726,271.7989049935248
1603.287674095316,-243.73682684021495,271.7989049935248
1615.8728973968218,-244.33900742751626,271.7989049935248
1620.4474408139915,-244.55789120697665,271.7989049935248
1623.6945641164166,-244.71326029105643,271.7989049935248
1629.0701689526488,-244.97047343696818,271.7989049935248
1638.6342675647847,-245.42809857251697,271.7989049935248
1649.0952758777505,-245.92863924460124,271.7989049935248
1662.4400831744242,-246.5671645772723,271.7989049935248
1665.4797094651854,-246.71260529779792,271.7989049935248
1682.239173886677,-247.5145159104592,271.7989049935248
1688.1141705529442,-247.79562406866435,271.7989049935248
1692.7821366990331,-248.01897795981208,271.7989049935248
1699.5151797977992,-248.34114211617273,271.7989049935248
1710.885926652353,-248.88521216204234,271.7989049935248
1720.1998166335472,-249.33086525889797,271.7989049935248
